,age,job,marital,education,default,y
0,58,management,married,tertiary,no,no
1,44,technician,single,secondary,no,no
2,33,entrepreneur,married,secondary,no,no
3,47,blue-collar,married,unknown,no,no
4,33,unknown,single,unknown,no,no
5,35,management,married,tertiary,no,no
6,28,management,single,tertiary,no,no
7,42,entrepreneur,divorced,tertiary,yes,no
8,58,retired,married,primary,no,no
9,43,technician,single,secondary,no,no
10,41,admin.,divorced,secondary,no,no
11,29,admin.,single,secondary,no,no
12,53,technician,married,secondary,no,no
13,58,technician,married,unknown,no,no
14,57,services,married,secondary,no,no
15,51,retired,married,primary,no,no
16,45,admin.,single,unknown,no,no
17,57,blue-collar,married,primary,no,no
18,60,retired,married,primary,no,no
19,33,services,married,secondary,no,no
20,28,blue-collar,married,secondary,no,no
21,56,management,married,tertiary,no,no
22,32,blue-collar,single,primary,no,no
23,25,services,married,secondary,no,no
24,40,retired,married,primary,no,no
25,44,admin.,married,secondary,no,no
26,39,management,single,tertiary,no,no
27,52,entrepreneur,married,secondary,no,no
28,46,management,single,secondary,no,no
29,36,technician,single,secondary,no,no
30,57,technician,married,secondary,no,no
31,49,management,married,tertiary,no,no
32,60,admin.,married,secondary,no,no
33,59,blue-collar,married,secondary,no,no
34,51,management,married,tertiary,no,no
35,57,technician,divorced,secondary,no,no
36,25,blue-collar,married,secondary,no,no
37,53,technician,married,secondary,no,no
38,36,admin.,divorced,secondary,no,no
39,37,admin.,single,secondary,no,no
40,44,services,divorced,secondary,no,no
41,50,management,married,secondary,no,no
42,60,blue-collar,married,unknown,no,no
43,54,retired,married,secondary,no,no
44,58,retired,married,unknown,no,no
45,36,admin.,single,primary,no,no
46,58,self-employed,married,tertiary,no,no
47,44,technician,married,secondary,no,no
48,55,technician,divorced,secondary,no,no
49,29,management,single,tertiary,no,no
50,54,blue-collar,married,secondary,no,no
51,48,management,divorced,tertiary,no,no
52,32,management,married,tertiary,no,no
53,42,admin.,single,secondary,no,no
54,24,technician,single,secondary,no,no
55,38,entrepreneur,single,tertiary,no,no
56,38,management,single,tertiary,no,no
57,47,blue-collar,married,unknown,no,no
58,40,blue-collar,single,unknown,no,no
59,46,services,married,primary,no,no
60,32,admin.,married,tertiary,no,no
61,53,technician,divorced,secondary,no,no
62,57,blue-collar,married,primary,no,no
63,33,services,married,secondary,no,no
64,49,blue-collar,married,unknown,no,no
65,51,management,married,tertiary,no,no
66,60,retired,married,tertiary,no,no
67,59,management,divorced,tertiary,no,no
