,balance,housing,loan,contact,day,y
0,2143,yes,no,unknown,5,no
1,29,yes,no,unknown,5,no
2,2,yes,yes,unknown,5,no
3,1506,yes,no,unknown,5,no
4,1,no,no,unknown,5,no
5,231,yes,no,unknown,5,no
6,447,yes,yes,unknown,5,no
7,2,yes,no,unknown,5,no
8,121,yes,no,unknown,5,no
9,593,yes,no,unknown,5,no
10,270,yes,no,unknown,5,no
11,390,yes,no,unknown,5,no
12,6,yes,no,unknown,5,no
13,71,yes,no,unknown,5,no
14,162,yes,no,unknown,5,no
15,229,yes,no,unknown,5,no
16,13,yes,no,unknown,5,no
17,52,yes,no,unknown,5,no
18,60,yes,no,unknown,5,no
19,0,yes,no,unknown,5,no
20,723,yes,yes,unknown,5,no
21,779,yes,no,unknown,5,no
22,23,yes,yes,unknown,5,no
23,50,yes,no,unknown,5,no
24,0,yes,yes,unknown,5,no
25,-372,yes,no,unknown,5,no
26,255,yes,no,unknown,5,no
27,113,yes,yes,unknown,5,no
28,-246,yes,no,unknown,5,no
29,265,yes,yes,unknown,5,no
30,839,no,yes,unknown,5,no
31,378,yes,no,unknown,5,no
32,39,yes,yes,unknown,5,no
33,0,yes,no,unknown,5,no
34,10635,yes,no,unknown,5,no
35,63,yes,no,unknown,5,no
36,-7,yes,no,unknown,5,no
37,-3,no,no,unknown,5,no
38,506,yes,no,unknown,5,no
39,0,yes,no,unknown,5,no
40,2586,yes,no,unknown,5,no
41,49,yes,no,unknown,5,no
42,104,yes,no,unknown,5,no
43,529,yes,no,unknown,5,no
44,96,yes,no,unknown,5,no
45,-171,yes,no,unknown,5,no
46,-364,yes,no,unknown,5,no
47,0,yes,no,unknown,5,no
48,0,no,no,unknown,5,no
49,0,yes,no,unknown,5,no
50,1291,yes,no,unknown,5,no
51,-244,yes,no,unknown,5,no
52,0,yes,no,unknown,5,no
53,-76,yes,no,unknown,5,no
54,-103,yes,yes,unknown,5,no
55,243,no,yes,unknown,5,no
56,424,yes,no,unknown,5,no
57,306,yes,no,unknown,5,no
58,24,yes,no,unknown,5,no
59,179,yes,no,unknown,5,no
60,0,yes,no,unknown,5,no
61,989,yes,no,unknown,5,no
62,249,yes,no,unknown,5,no
63,790,yes,no,unknown,5,no
64,154,yes,no,unknown,5,no
65,6530,yes,no,unknown,5,no
66,100,no,no,unknown,5,no
67,59,yes,no,unknown,5,no
68,1205,yes,no,unknown,5,no
69,12223,yes,yes,unknown,5,no
70,5935,yes,yes,unknown,5,no
71,25,yes,yes,unknown,5,no
72,282,yes,yes,unknown,5,no
73,23,yes,no,unknown,5,no
74,1937,yes,no,unknown,5,no
75,384,yes,no,unknown,5,no
76,582,no,yes,unknown,5,no
77,91,no,no,unknown,5,no
78,0,yes,yes,unknown,5,no
79,1,yes,no,unknown,5,no
80,206,yes,no,unknown,5,no
81,164,no,no,unknown,5,no
82,690,yes,no,unknown,5,no
83,2343,yes,no,unknown,5,yes
84,137,yes,yes,unknown,5,no
85,173,yes,no,unknown,5,no
86,45,no,no,unknown,5,yes
87,1270,yes,no,unknown,5,yes
88,16,yes,yes,unknown,5,no
89,486,yes,no,unknown,5,no
90,50,no,no,unknown,5,no
91,152,yes,yes,unknown,5,no
92,290,yes,no,unknown,5,no
93,54,yes,no,unknown,5,no
94,-37,no,no,unknown,5,no
95,101,yes,yes,unknown,5,no
96,383,no,no,unknown,5,no
97,81,yes,no,unknown,5,no
98,0,yes,no,unknown,5,no
99,229,yes,no,unknown,5,no
100,-674,yes,no,unknown,5,no
101,90,no,no,unknown,5,no
102,128,yes,no,unknown,5,no
103,179,yes,no,unknown,5,no
104,0,yes,no,unknown,5,no
105,54,yes,no,unknown,5,no
106,151,yes,no,unknown,5,no
107,61,no,yes,unknown,5,no
108,30,yes,no,unknown,5,no
109,523,yes,no,unknown,5,no
110,31,yes,no,unknown,5,no
111,79,no,no,unknown,5,no
112,-34,yes,yes,unknown,5,no
113,448,yes,no,unknown,5,no
114,81,yes,no,unknown,5,no
115,144,yes,no,unknown,5,no
116,351,yes,no,unknown,5,no
117,-67,yes,no,unknown,5,no
118,262,no,no,unknown,5,no
119,0,no,no,unknown,5,no
120,56,yes,no,unknown,5,no
121,26,yes,no,unknown,5,no
122,3,yes,no,unknown,5,no
123,41,yes,yes,unknown,5,no
124,7,no,yes,unknown,5,no
125,105,yes,no,unknown,5,no
126,818,yes,yes,unknown,5,no
127,-16,yes,yes,unknown,5,no
128,0,yes,no,unknown,5,no
129,2476,yes,no,unknown,5,yes
130,1185,no,no,unknown,5,no
131,217,yes,no,unknown,5,no
132,1685,yes,no,unknown,5,no
133,802,yes,yes,unknown,5,no
134,0,yes,no,unknown,5,no
135,94,yes,no,unknown,5,no
136,0,yes,no,unknown,5,no
137,0,no,no,unknown,5,no
138,517,yes,no,unknown,5,no
139,265,yes,no,unknown,5,no
140,947,yes,no,unknown,5,no
141,3,yes,no,unknown,5,no
142,42,no,no,unknown,5,no
143,37,yes,no,unknown,5,no
144,57,yes,no,unknown,5,no
145,22,yes,no,unknown,5,no
146,8,yes,no,unknown,5,no
147,293,yes,no,unknown,5,no
148,3,yes,no,unknown,5,no
149,348,yes,no,unknown,5,no
150,-19,yes,no,unknown,5,no
151,0,yes,no,unknown,5,no
152,-4,yes,no,unknown,5,no
153,18,yes,no,unknown,5,no
154,139,no,no,unknown,5,no
155,0,yes,no,unknown,5,no
156,1883,yes,no,unknown,5,no
157,216,yes,no,unknown,5,no
158,782,yes,no,unknown,5,no
159,904,yes,no,unknown,5,no
160,1705,yes,no,unknown,5,no
161,47,yes,no,unknown,5,no
162,176,yes,no,unknown,5,no
163,1225,yes,no,unknown,5,no
164,86,yes,no,unknown,5,no
165,82,yes,no,unknown,5,no
166,271,yes,no,unknown,5,no
167,1378,yes,no,unknown,5,no
168,184,no,no,unknown,5,yes
169,0,no,no,unknown,5,no
170,0,yes,no,unknown,5,no
171,1357,yes,yes,unknown,5,no
172,19,yes,no,unknown,5,no
173,434,no,no,unknown,5,no
174,92,yes,no,unknown,5,no
175,1151,yes,no,unknown,5,no
176,41,yes,no,unknown,5,no
177,51,yes,no,unknown,5,no
178,214,yes,no,unknown,5,no
179,1161,yes,no,unknown,5,no
180,37,yes,no,unknown,5,no
181,787,yes,no,unknown,5,no
182,59,yes,no,unknown,5,no
183,253,yes,no,unknown,5,no
184,211,yes,no,unknown,5,no
185,235,yes,no,unknown,5,no
186,4384,yes,no,unknown,5,no
187,4080,no,no,unknown,5,no
188,53,yes,yes,unknown,5,no
189,0,yes,no,unknown,5,no
190,2127,yes,no,unknown,5,no
191,377,yes,no,unknown,5,no
192,73,yes,no,unknown,5,no
193,445,yes,no,unknown,5,no
194,243,yes,no,unknown,5,no
195,307,yes,no,unknown,5,no
196,155,yes,no,unknown,5,no
197,173,no,yes,unknown,5,no
198,400,yes,no,unknown,5,no
199,1428,yes,no,unknown,5,no
200,219,yes,no,unknown,5,no
201,7,yes,no,unknown,5,no
202,575,yes,no,unknown,5,no
203,298,yes,no,unknown,5,no
204,0,yes,no,unknown,5,no
205,5699,yes,no,unknown,5,no
206,176,yes,yes,unknown,5,no
207,517,yes,no,unknown,5,no
208,257,yes,no,unknown,5,no
209,56,yes,no,unknown,5,no
210,-390,yes,no,unknown,5,no
211,330,yes,no,unknown,5,no
212,195,no,no,unknown,5,no
213,301,yes,no,unknown,5,no
214,-41,yes,no,unknown,5,no
215,483,yes,no,unknown,5,no
216,28,no,no,unknown,5,no
217,13,no,no,unknown,5,no
218,965,no,no,unknown,5,no
219,378,yes,yes,unknown,5,no
220,219,yes,no,unknown,5,no
221,324,yes,no,unknown,5,no
222,-69,yes,no,unknown,5,no
223,0,no,yes,unknown,5,no
224,205,yes,no,unknown,5,no
225,278,yes,no,unknown,5,no
226,1065,yes,no,unknown,5,no
227,34,yes,no,unknown,5,no
228,1033,no,no,unknown,5,no
229,1467,yes,no,unknown,5,no
230,-12,yes,no,unknown,5,no
231,388,yes,no,unknown,5,no
232,294,yes,no,unknown,5,no
233,1827,no,no,unknown,5,no
234,627,yes,no,unknown,5,no
235,25,yes,no,unknown,5,no
236,315,yes,no,unknown,5,no
237,0,yes,no,unknown,5,no
238,66,yes,no,unknown,5,no
239,-9,yes,yes,unknown,5,no
240,349,yes,yes,unknown,5,no
241,100,yes,no,unknown,5,no
242,0,no,no,unknown,5,no
243,434,yes,no,unknown,5,no
244,3237,yes,no,unknown,5,no
245,275,no,no,unknown,5,no
246,0,yes,no,unknown,5,no
247,207,yes,no,unknown,5,no
248,483,yes,no,unknown,5,no
249,2248,yes,no,unknown,5,no
250,428,yes,no,unknown,5,no
251,0,yes,yes,unknown,5,no
252,0,yes,no,unknown,5,no
253,140,yes,no,unknown,5,no
254,297,yes,no,unknown,5,no
255,279,yes,no,unknown,5,no
256,901,yes,no,unknown,5,no
257,2573,yes,no,unknown,5,no
258,143,yes,yes,unknown,5,no
259,475,yes,no,unknown,5,no
260,70,yes,no,unknown,5,no
261,318,yes,no,unknown,5,no
262,275,yes,no,unknown,5,no
263,742,yes,no,unknown,5,no
264,236,yes,no,unknown,5,no
265,25,yes,no,unknown,5,no
266,600,yes,no,unknown,5,no
267,-349,yes,no,unknown,5,no
268,183,yes,yes,unknown,5,no
269,0,yes,no,unknown,5,no
270,0,yes,yes,unknown,5,yes
271,0,yes,no,unknown,5,no
272,1078,yes,no,unknown,5,no
273,155,no,no,unknown,5,no
274,190,yes,no,unknown,5,no
275,319,yes,no,unknown,5,no
276,-185,yes,no,unknown,5,no
277,47,no,no,unknown,5,no
278,570,yes,no,unknown,5,no
279,19,no,no,unknown,5,no
280,61,yes,no,unknown,5,no
281,-62,yes,yes,unknown,5,no
282,258,no,no,unknown,5,no
283,76,yes,no,unknown,5,no
284,0,yes,no,unknown,5,no
285,352,yes,no,unknown,5,no
286,368,yes,no,unknown,5,no
287,339,yes,no,unknown,5,no
288,1331,yes,no,unknown,5,no
289,672,yes,no,unknown,5,no
290,58,yes,no,unknown,5,no
291,447,yes,no,unknown,5,no
292,423,yes,no,unknown,5,no
293,0,no,no,unknown,5,no
294,19,yes,no,unknown,5,no
295,13,yes,no,unknown,5,no
296,3,yes,no,unknown,5,no
297,82,yes,no,unknown,5,no
298,28,yes,no,unknown,5,no
